18-06-2021 17:54:40,32,90,45
18-06-2021 17:54:41,98,91,50
18-06-2021 17:54:41,97,73,20
18-06-2021 17:54:42,5,23,28
18-06-2021 17:54:42,61,40,9
18-06-2021 17:54:43,54,55,10
18-06-2021 17:54:43,89,1,64
18-06-2021 17:54:44,100,48,34
18-06-2021 17:54:44,39,64,73
18-06-2021 17:54:45,3,87,49
18-06-2021 17:54:45,90,35,89
18-06-2021 17:54:46,71,89,40
18-06-2021 17:54:46,64,8,1
18-06-2021 17:54:47,73,95,52
18-06-2021 17:54:47,31,3,13
18-06-2021 17:54:48,10,69,1
18-06-2021 17:54:48,32,26,38
18-06-2021 17:54:49,32,21,59
18-06-2021 17:54:49,78,80,71
18-06-2021 17:54:50,39,77,8
18-06-2021 17:54:50,12,54,81
18-06-2021 17:54:51,98,87,69
18-06-2021 17:54:51,18,70,94
18-06-2021 17:54:52,46,49,48
18-06-2021 17:54:52,91,33,3
18-06-2021 17:54:53,99,8,85
18-06-2021 17:54:53,24,77,37
18-06-2021 17:54:54,93,70,19
18-06-2021 17:54:54,31,33,85
18-06-2021 17:54:55,75,84,48
18-06-2021 17:54:55,3,27,0
18-06-2021 17:54:56,46,32,48
18-06-2021 17:54:56,7,58,4
18-06-2021 17:54:57,82,75,14
18-06-2021 17:54:57,2,43,82
18-06-2021 17:54:58,58,78,67
18-06-2021 17:54:58,18,80,60
18-06-2021 17:54:59,73,36,61
18-06-2021 17:54:59,69,56,99
18-06-2021 17:55:00,0,57,33
18-06-2021 17:55:00,70,90,1
18-06-2021 17:55:01,52,88,69
18-06-2021 17:55:01,51,42,1
18-06-2021 17:55:02,42,87,42
18-06-2021 17:55:03,81,36,76
18-06-2021 17:55:03,57,8,77
18-06-2021 17:55:04,24,29,84
18-06-2021 17:55:04,17,20,49
18-06-2021 17:55:05,28,97,92
18-06-2021 17:55:05,77,90,47
18-06-2021 17:55:06,9,56,62
18-06-2021 17:55:06,62,82,60
18-06-2021 17:55:07,25,86,31
18-06-2021 17:55:07,40,58,31
18-06-2021 17:55:08,68,93,42
18-06-2021 17:55:08,25,57,91
18-06-2021 17:55:09,43,21,67
18-06-2021 17:55:09,64,62,94
18-06-2021 17:55:10,8,60,73
18-06-2021 17:55:10,42,46,83
18-06-2021 17:55:11,4,84,89
18-06-2021 17:55:11,55,95,39
18-06-2021 17:55:12,25,97,40
18-06-2021 17:55:12,69,50,19
18-06-2021 17:55:13,100,46,68
18-06-2021 17:55:13,96,36,96
18-06-2021 17:55:14,59,11,83
18-06-2021 17:55:14,65,73,12
18-06-2021 17:55:15,15,84,2
18-06-2021 17:55:15,78,18,65
